,Text,Account Tags,Hashtags,Sentiment,Emotions
13," ➡️ Create your own climate change stripes for EarthDay ! 

Here is how much the #Arctic is warming up... 🥹 ",ZLabe,"EarthDay,Arctic",NEGATIVE,joy
14," Oh, I don’t mean just the tree; of course it’s lovely...but I meant everything, the garden &amp; the orchard &amp; the brook &amp; the woods, the whole big dear world. Don’t you feel as if you just loved the world on a morning like this?

ANNE OF GREEN GABLES
EarthDay 
🎨Harold C. Harvey ",LMMontgomeryLS,EarthDay,POSITIVE,joy
25,"Are you ready to take eco-matters into your own hands? 💪 From Today EarthDay to #BiodiversityDay, join our daily actions challenge  in supporting the future of our planet and protecting nature and biodiversity!

#Connect2Earth EarthDayToBiodiversityDay #BiodiversityDay ",Uknown,"EarthDay,BiodiversityDay,Connect2Earth,EarthDayToBiodiversityDay,BiodiversityDay",POSITIVE,optimism
30," The path ahead will be full of outrage and optimism.

We need to channel both towards responding to the complexity of the climate crisis and its solutions – and that involves every one of us 🌍

🎧  EarthDay ",OutrageOptimism,EarthDay,POSITIVE,optimism
46," 🌎EARTH DAY GIVEAWAY!🌎

Prizes: 
🏆1 $SOL ($130)
🏆10X WL

Must: 
1⃣Follow  and  
2⃣RT + LIKE
3⃣Tag a friend
4️⃣Join discord: 

11 winner! #ad

24 HR #solana  #NFTGiveaway ","nftjakey,nftjakey,ZombieTurtleNFT","ad,solana,NFTGiveaway",NEGATIVE,joy
47," Happy Earth Day 🌱

EarthDay #enviornment  #GreenEnergy EarthDay2022 ",uLethbridgeORIS,"EarthDay,enviornment,GreenEnergy,EarthDay2022",POSITIVE,joy
51," This EarthDay, we're proud to provide local &amp; global communities with educational opportunities in Earth system science &amp; climate research! Through our amazing programs like    &amp; others, we can share  's research &amp; advancements💚 ","UCAR_News,UCARSciEd,COMETMetEd,GLOBEProgram,NCAR_Science",EarthDay,POSITIVE,joy
53," Today EARTH DAY!  

One Earth Festival  in  

-IRL #NFTCleanUpDay

-Drop of ""Life on Planet Earth""
Group Collection by the EAPC 

20% donated to  for #oceancleanup

Sounds &amp; Vibes provided by performers  &amp;  &amp; more 🔗👇 ","EAPhotoCollect,Netheryonder,cryptovoxels,Pro2Tect,IamDavidDAngelo,MayDayGLO","NFTCleanUpDay,oceancleanup",NEGATIVE,joy
57," This EarthDay take a stand. 

Call on the countries that consume the most meat to end factory farming ➡️  

     ","CompassionEdin1,DeborahMeaden,PeterEgan6,HughFW,therestis_,ChrisGPackham",EarthDay,NEGATIVE,optimism
59,"Happy EarthDay🌎! Coming off a historic state budget, #NY is leading the way investing a green energy infrastructure that will create good-paying jobs, and provide cleaner communities for generations of NYers to come.

#NYActsonClimate
",Uknown,"EarthDay,NY,NYActsonClimate",POSITIVE,optimism
65," Happy Earth Day from all of us here at the UTSA Brain Health Consortium! Find out how you can help our planet this Earth Day by clicking the link below. 
🧠🌎🌳
EarthDay EarthDay2022 #environment

 ",utsabrainhealth,"EarthDay,EarthDay2022,environment",POSITIVE,joy
67," There is no life without soil  🌱
This Earth day let’s work hand in hand to build a better world for us and our generations to come. 
#MyconnectwithSoil   ","MohanShakti,SadhguruJV,cpsavesoil",MyconnectwithSoil,POSITIVE,optimism
